,Star,Log Period,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Distance Modulus,Uncertainty in Distance Modulus,Metallicity,Star Code
0,AB UMa,-0.2221520437120682,9.545073999999998,0.009000000000000001,9.96546352988029,0.04526602677563584,-0.49,0
1,AN Ser,-0.28227006428720297,9.754612000000003,0.008,9.943272823521113,0.05241823283566358,-0.07,1
2,AV Peg,-0.40851833651363645,9.275321999999992,0.008,9.10866673359501,0.02824777592521403,-0.08,2
3,BB Pup,-0.3182624667580053,10.853234000000002,0.006999999999999999,11.00987935255231,0.07794296485805118,-0.6,3
4,BH Peg,-0.19314671319252863,8.979565999999997,0.005,9.638144220564692,0.0463596504872081,-1.22,4
5,DX Del,-0.3254909089878608,8.605943999999994,0.006999999999999999,8.774385810330458,0.020788588263497623,-0.39,5
6,HK Pup,-0.13418130175254833,9.938958,0.005,10.46565584452028,0.05208685581915696,-1.11,6
7,RR Cet,-0.2572520943557897,8.646584000000006,0.006,8.923587454379968,0.03164027983204799,-1.45,7
8,RR Gem,-0.4008923662294992,10.309280000000001,0.011,10.306535466140408,0.09203728821527855,-0.29,8
9,RR Leo,-0.3444838356532483,9.847527999999997,0.006999999999999999,9.825704725193525,0.05548078401046495,-1.6,9
10,RU Scl,-0.3068404659994043,9.268614,0.004,9.463888901937352,0.059968173942138256,-1.27,11
11,RV Oct,-0.24324031414801367,9.628886,0.006999999999999999,9.950214681417101,0.02800101711082425,-1.71,12
12,RV UMa,-0.32969847171499234,9.891456000000003,0.021,10.064120375467258,0.03458124745776882,-1.2,13
13,RX Eri,-0.23117977001808754,8.427336000000002,0.003,8.818666548990779,0.0318145479891846,-1.33,14
14,ST Boo,-0.2060099695299767,9.946149999999996,0.012,10.50238676455379,0.06557049825446447,-1.76,15
15,SU Dra,-0.18017977656471143,8.732106000000002,0.006999999999999999,9.34771160249345,0.0259393783957953,-1.8,16
16,SV Eri,-0.14639121099923086,8.701336000000001,0.004,9.330811027324138,0.04218305062576755,-1.7,17
17,SV Hya,-0.32007921363934044,9.586962,0.006,9.677088626553457,0.05736704739061615,-1.5,18
18,SW And,-0.3543221420188453,8.453510000000001,0.006,8.499784861568516,0.03471273223489345,-0.24,19
19,SW Dra,-0.24437670415176363,9.419047999999995,0.006999999999999999,9.850989180707515,0.04224797023920304,-1.12,20
20,TT Lyn,-0.22370980724590014,8.739887999999997,0.011,9.148964125090384,0.026307123349365757,-1.56,21
21,TU UMa,-0.2536315180084685,8.776280000000002,0.006999999999999999,8.988767760356078,0.03847392333918605,-1.51,22
22,TW Her,-0.3983744074164751,10.316310000000001,0.005,10.224572352904538,0.040182848740708293,-0.69,23
23,UU Vir,-0.32275002708798844,9.622193999999999,0.006999999999999999,9.461859377123723,0.08923322595319803,-0.87,24
24,UV Oct,-0.26553621877516176,8.330366000000001,0.006999999999999999,8.664926003614594,0.01621162268215289,-1.74,25
25,UY Boo,-0.18653243647554374,9.847526,0.009000000000000001,10.459620788802027,0.06931431294560958,-2.56,26
26,UY Cyg,-0.2512657415316556,9.814697999999991,0.017,10.069272023223911,0.052568545177722824,-0.8,27
27,V Ind,-0.3191192861667862,9.024019999999998,0.006,9.111106624609535,0.030851589801506353,-1.5,28
28,V0440 Sgr,-0.32104587898703396,9.116322,0.008,9.26027441483551,0.036561837527499114,-1.4,29
29,V0675 Sgr,-0.19226931290675137,9.050336000000001,0.006999999999999999,9.605252386087805,0.03807004381618422,-2.28,30
30,VX Her,-0.3416452741940381,9.805238000000001,0.009000000000000001,9.882214673454799,0.06228411342370311,-1.58,31
31,W Crt,-0.38508740473312725,10.573846000000005,0.006999999999999999,10.374418016240446,0.07598489649328607,-0.54,32
32,WY Ant,-0.24082670166730225,9.731772000000001,0.004,10.046652426297154,0.051541092316983984,-1.48,33
33,X Ari,-0.18630369520671122,8.036057999999997,0.006,8.64192691907008,0.02458579159273841,-2.43,34
34,XX And,-0.14100769343571815,9.630163999999992,0.009000000000000001,10.254095498765382,0.05480936227763532,-1.94,35
35,XZ Cyg,-0.33105587984693996,8.856035999999996,0.008,8.980287462690118,0.02234543773227193,-1.44,36
